chr	start	end	cent_start	cent_end
chr1	1	249250621	121535434	124535434
chr2	1	243199373	92326171	95326171
chr3	1	198022430	90504854	93504854
chr4	1	191154276	49660117	52660117
chr5	1	180915260	46405641	49405641
chr6	1	171115067	58830166	61830166
chr7	1	159138663	58054331	61054331
chr8	1	155270560	43838887	46838887
chr9	1	146364022	47367679	50367679
chr10	1	141213431	39254935	42254935
chr11	1	135534747	51644205	54644205
chr12	1	135006516	34856694	37856694
chr13	1	133851895	16000000	19000000
chr14	1	115169878	16000000	19000000
chr15	1	107349540	17000000	20000000
chr16	1	102531392	35335801	38335801
chr17	1	90354753	22263006	25263006
chr18	1	81195210	15460898	18460898
chr19	1	78077248	24681782	27681782
chr20	1	63025520	26369569	29369569
chr21	1	59373566	11288129	14288129
chr22	1	59128983	13000000	16000000
chrX	1	155270560	58632012	61632012
chrY	1	59373566	10104553	13104553
